City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Majene,ID,76.89,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
463,Jawar,IN,77.05,moderate rain,23.0,76.5,Sree balaji
464,Kota Bahru,MY,76.33,overcast clouds,6.1333,102.2386,Grand Riverview Hotel
466,Meulaboh,ID,77.97,overcast clouds,4.1363,96.1285,Kost Pria
467,Puerto Lumbreras,ES,80.98,clear sky,37.5633,-1.8097,Hotel Riscal
470,Cascais,PT,70.93,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
476,Odweyne,SO,71.37,clear sky,9.4092,45.064,Eng Hiirey House
477,Lamu,KE,75.42,light rain,-2.2717,40.902,Lamu House
479,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
481,Ahmadpur East,PK,83.25,moderate rain,29.1431,71.2598,Irfan fabrics
483,Dwarka,IN,82.89,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
489,Shahgarh,IN,77.65,overcast clouds,24.3167,79.1333,jain chat centar
491,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
493,Ipixuna,BR,80.44,overcast clouds,-1.7625,-48.8043,Chalé do Mato
494,Nova Olinda Do Norte,BR,85.87,broken clouds,-3.8881,-59.0942,Casa Juazeiro
495,Seoul,KR,72.84,few clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
498,Korla,CN,77.04,clear sky,41.7597,86.1469,Gulisitan Hotel
499,Huber Heights,US,88.9,few clouds,39.8439,-84.1247,Hampton Inn Dayton/Huber Heights
500,Huilong,CN,79.93,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
503,Bela Vista Do Paraiso,BR,79.84,few clouds,-22.9967,-51.1906,Recanto Valone
508,Amuntai,ID,73.9,moderate rain,-2.4177,115.2494,Hotel Balqis
509,Cabedelo,BR,74.07,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
510,Aloleng,PH,81.95,overcast clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
512,Arrecife,ES,75.18,few clouds,28.963,-13.5477,Hotel Lancelot
515,Rawlins,US,89.49,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
516,Nara,JP,76.5,broken clouds,34.6851,135.8049,Guesthouse Nara Komachi
520,Iglesias,IT,83.62,few clouds,39.3114,8.535,"B&B Mare Monti Miniere - Sardinia Sud-Ovest, Sulcis iglesiente, trekking, climbing Masua, Nebida, Miniere, Porto Flavia, Grotta Sardegna, Pan di Zucchero, Cammino Minerario Santa Barbara, Caserma “Trieste”,"
521,Itarema,BR,82.65,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
525,Raton,US,89.33,clear sky,36.9034,-104.4391,"Holiday Inn Express & Suites Raton, an IHG Hotel"
528,Isangel,VU,76.28,clear sky,-19.55,169.2667,Tanna Lodge
532,Ha Giang,VN,74.8,overcast clouds,22.8333,104.9833,Truong Xuan Resort
534,Salinopolis,BR,80.13,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
536,Dungarpur,IN,80.58,overcast clouds,23.8333,73.7167,Gayatri Hotel
537,Sarangani,PH,82.02,light rain,5.4033,125.4636,JVL Inn and Cafeteria
541,West Bay,KY,89.67,few clouds,19.3667,-81.4167,Calypso Cove
543,Kahului,US,82.42,broken clouds,20.8947,-156.47,Maui Seaside Hotel
546,Klaeng,TH,81.95,overcast clouds,12.7797,101.6483,สวัสดีการ์เดนท์รีสอร์ท
548,Westport,US,88.27,few clouds,41.1415,-73.3579,The Westport Inn
552,Jiazi,CN,81.77,clear sky,22.8779,116.067,Hotel Jin Hao
554,Hirara,JP,84.99,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
558,Palora,EC,78.91,overcast clouds,-1.7,-77.9333,Rancho grande
559,Tateyama,JP,79.11,scattered clouds,34.9833,139.8667,Tateyama Seaside Hotel
560,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
563,Bathsheba,BB,86.61,few clouds,13.2167,-59.5167,Atlantis Hotel
564,San Quintin,MX,73.31,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
566,Mormugao,IN,76.26,drizzle,15.4,73.8,Coconut Creek Resort
567,Joao Pinheiro,BR,78.53,clear sky,-17.7425,-46.1725,Hotel Santos
570,Veraval,IN,81.72,overcast clouds,20.9,70.3667,Lords Inn Somnath
571,Sompeta,IN,83.26,overcast clouds,18.9333,84.6,బెంకిలి భైరొడమ్మ క్రికెట్ గ్రౌండ్
573,Bull Savanna,JM,86.36,clear sky,17.8868,-77.5902,Big Red's
574,Paris,FR,76.78,clear sky,48.8534,2.3488,Britannique Hotel - Paris Centre
577,Siderno,IT,78.33,clear sky,38.2779,16.302,Grand Hotel President
578,Nyimba,ZM,70.34,light rain,-14.5566,30.8149,Dali Dali Lodge
579,Kaspiysk,RU,75.24,few clouds,42.8816,47.6392,Alima Hostel
581,Harper,LR,75.45,overcast clouds,4.375,-7.7169,Screensaver
582,Moussoro,TD,87.78,broken clouds,13.6408,16.4901,Hôtel Salama
586,Ayame,CI,70.95,broken clouds,5.6083,-3.1563,Hotel Bossan
588,Tamandare,BR,75.42,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
594,Kavieng,PG,81.23,light rain,-2.5744,150.7967,Nusa Island Retreat
595,Zatoka,UA,72.72,clear sky,46.0725,30.4654,Sonyachna
598,Manokwari,ID,77.85,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
599,Qui Nhon,VN,76.91,overcast clouds,13.7667,109.2333,Seagull Hotel
601,Isabela,PH,78.66,overcast clouds,6.7085,121.9711,Isawad Resort
603,Turayf,SA,83.19,clear sky,31.6725,38.6637,Turaif
604,Ntoum,GA,76.21,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
605,Cloquet,US,80.62,overcast clouds,46.7216,-92.4594,Super 8 by Wyndham Cloquet
607,Varna,BG,71.44,clear sky,43.2167,27.9167,Golden Tulip Varna
610,Cabral,DO,89.46,few clouds,18.25,-71.2167,galvin feliz
611,Broome,US,88.99,few clouds,42.2506,-75.833,Chenango Valley State Park
612,Sokoni,TZ,75.47,light rain,-6.4333,39.55,Ujamaa Beach Resort
614,Daru,PG,75.72,broken clouds,-9.0763,143.2092,Daru Lodge
615,Pimentel,PE,71.89,few clouds,-6.8367,-79.9342,Hotel Puerto del Sol
618,Ormara,PK,83.93,overcast clouds,25.2088,64.6357,Kenara Colony House for Rent
624,Eyl,SO,76.62,clear sky,7.9803,49.8164,Amiin Hotel
625,Terenos,BR,87.51,clear sky,-20.4422,-54.8603,Rancho Pitzer
